,hashtag,hashtag_class,true_segmentation
1803,большогокорабля6876противолодочного,7,00000001000000100010000000000000001
1804,мероприятийполицейские,6,0000000000100000000001
1805,полицииотделамвд,7,0000001000001001
1806,банковскиекарты04,6,00000000010000101
1807,управлениивнутренних,6,00000000010000000001
1808,юво5минобороны,6,00110000000001
1809,05находящегося,5,01000000000001
1810,главнокомандующийвооруженными2верховный,7,000000000000000010000000000011000000001
1811,праздничный513день,6,000000000010010001
1812,ввмурэвыпускниквуза,7,0000010000000010001
1813,цветасинего1,6,000010000011
1814,незаконнымоборотомнаркотиков,7,0000000001000000010000000001
1815,готовить46,5,0000000101
1816,каспийскойфлотилии,6,000000000100000001
1817,женщина265,5,0000001001
1818,0907поиске,5,0001000001
1819,вывода818,5,000001001
1820,2797материальной,5,0001000000000001
1821,космическихвойсквкс,7,0000000000100001001
1822,дальневосточные,5,000000000000001
1823,вниманиерозыск960,6,00000001000001001
1824,4728мобильных,5,0001000000001
1825,сказки,5,000001
1826,дняинтересно3кадр,7,00100000000110001
1827,движениеавтотранспорта,6,0000000100000000000001
1828,отделамвдмежмуниципального5,7,000001001000000000000000011
1829,отделением,5,0000000001
1830,дверейвстречи,6,0000010000001
1831,70обеспечениябезопасностимеры,7,01000000000010000000000010001
1832,6614восточном,5,0001000000001
1833,надводных,5,000000001
1834,правиладорожногодвижения,7,000000100000000100000001
1835,чрезвычайныйблогермчсмчсроссии,7,000000000000000001001000000001
1836,изъятое1867,5,00000010001
1837,военноговедомствароссии,7,00000001000000001000001
1838,федор,5,00001
1839,51психотропныелибовещества,7,01000000000001000100000001
1840,7848человечества,5,0001000000000001
1841,многихлет,6,000001001
1842,интересособый618,6,0000001000001001
1843,трогатьпредметыникакие14,7,000000100000001000000101
1844,кино7российского,6,0001100000000001
1845,круглосуточнымработырежимом8,7,0000000000000100000100000011
1846,приемосуществлятьсяграждан64,7,0000100000000000001000000101
1847,904поступать,5,001000000001
1848,5праздничный,5,100000000001
1849,литературе6558,5,00000000010001
1850,92мвдуниверситетпетровка,7,010010000000000100000001
1851,группывысшегопилотажа,7,000001000000100000001
1852,мвдмедалью713,6,0010000001001
1853,напитков,5,00000001
1854,953противодействияувдкоррупции,7,001000000000000001001000000001
1855,общественногообеспечению9528порядка,7,00000000000010000000000100010000001
1856,транспортнымцелисредством69,7,000000000001000100000000101
1857,отправку8,5,000000011
1858,15служат,5,01000001
1859,ходят63,5,0000101
1860,оказанияпомощимедицинской0123,7,00000001000001000000000010001
1861,новостивниманиерозыск,7,000000100000001000001
1862,полковникполициивиктор,7,0000000010000001000001
1863,7079профессиональноемастерство,6,000100000000000000010000000001
1864,1техникой,5,100000001
1865,боевыхзадач,6,00000100001
1866,столичныеполицейские42,6,0000000010000000000101
1867,ударные,5,0000001
1868,подполковниквнутреннейслужбы,7,0000000000010000000001000001
1869,доступен,5,00000001
1870,территориюроссии,6,0000000001000001
1871,свободный,5,000000001
1872,коллегамиувд,6,000000001001
1873,всероссийскогофестивалятематике83,7,000000000000010000000010000000101
1874,противотанкового,5,0000000000000001
1875,1905тополькомплексаракетного,7,0001000001000000001000000001
1876,трогатьникакиепредметы,7,0000001000000100000001
1877,987маркигашения,6,001000010000001
1878,сумку20которой,6,00001010000001
1879,местепроисшествия3696,6,000010000000000010001
1880,степень,5,0000001
1881,москвеалександркнязев,7,000001000000001000001
1882,другие,5,000001
1883,ведомствавоенного1418министр,7,0000000010000000100010000001
1884,1209умвдроссии,6,00010001000001
1885,пожарный45,5,0000000101
1886,сотрудникисвао205увд,7,00000000010001001001
1887,установленном,5,0000000000001
1888,1праздника,5,1000000001
1889,америки7386,5,00000010001
1890,телосложенияволосы,6,000000000001000001
1891,преодолением1,5,0000000000011
1892,нелегкий,5,00000001
1893,любыхпогодныхусловиях,7,000010000000100000001
1894,пропагандедпс,6,0000000001001
1895,1321участиезаместитель,6,0001000000100000000001
1896,234рф,5,00101
1897,столичный5,5,0000000011
1898,перекрестка4полядевичьего,7,0000000000110001000000001
1899,городских,5,000000001
1900,047хищенииподозреваемогозадержали,7,001000000100000000000001000000001
1901,возможностьрежимереального,7,00000000001000001000000001
1902,осуществлена,5,000000000001
1903,специалисты8727централидер,7,00000000001000100000100001
1904,полигонехмелевка68калининградской,7,000000010000000101000000000000001
1905,присутствиямировомокеане,7,000000000010000001000001
1906,честьдня,6,00001001
1907,военнослужащихвнутреннихвойск,7,00000000000001000000000100001
1908,делам,5,00001
1909,почтовыхкорреспонденции7667,6,000000010000000000000010001
1910,712ситуациюмониторахувидеть,7,001000000010000000010000001
1911,совершал582,5,00000001001
1912,домаветеранов264,6,0001000000001001
1913,необычные9,5,0000000011
1914,жены98,5,000101
1915,противолодочного99большого,6,00000000000000010100000001
1916,заявку541,5,000001001
1917,327встречи,5,0010000001
1918,свойпреступныйумысел,7,00010000000001000001
1919,объезд,5,000001
1920,отмечают1898россии,6,000000010001000001
1921,инспекторфото1,6,00000000100011
1922,являетсяодной,6,0000000100001
1923,передового596,5,0000000001001
1924,совершил,5,00000001
1925,проведения93оперативно,6,0000000001010000000001
1926,мчсотряда98,6,00100000101
1927,терроризма,5,0000000001
1928,отделением7омвддознания,7,00000000011000100000001
1929,исполнениюадминистративногозаконодательства,7,0000000001000000000000000010000000000000001
1930,миноборонызвопво,7,0000000001001001
1931,29россиипочтыотделений,7,0100000100001000000001
1932,171чемпионате,5,0010000000001
1933,преступление,5,000000000001
1934,проездадевичьего,6,0000001000000001
1935,университетазнакомствоправилами,7,0000000000010000000001000000001
1936,построение,5,0000000001
1937,цветаособыеприметы,7,000010000010000001
1938,предотвращения1,5,000000000000011
1939,короткие,5,00000001
1940,подводнойлодкисан,7,00000000100001001
1941,содействие455,5,0000000001001
1942,кампании,5,00000001
1943,679отправлением,5,001000000000001
1944,почтоваядорога971,5,00000000000001001
1945,выдача,5,000001
1946,защитыдня439,6,000001001001
1947,незнакомые,5,0000000001
1948,стадии,5,000001
1949,олега9полициимайора,7,0000110000001000001
1950,пдн,5,001
1951,девочка2,5,00000011
1952,085коммуникаций,5,001000000000001
1953,преддверииновогоднихпраздников,7,000000000100000000010000000001
1954,ноябре,5,000001
1955,экипажиударныхвертолетов,7,000000100000010000000001
1956,информации766,5,0000000001001
1957,выбиратьскоростной088режим,7,00000001000000000100100001
1958,скоростнойрежимучетом,7,000000000100001000001
1959,россииспасли,6,000001000001
1960,населенныхпункта,6,0000000001000001
1961,психотропныевещества,6,00000000000100000001
1962,боевой122,5,000001001
1963,округесотрудникиполиции,7,00000100000000010000001
1964,6столицыпетровкамвдроссии,7,1000000100000001000000001
1965,искусств,5,00000001
1966,предметовпервойнеобходимости,7,0000000010000010000000000001
1967,столицы2сотрудники,6,000000110000000001
1968,1828выпущенных,5,00010000000001
1969,россиирайонамсилино,7,0000010000001000001
1970,хищения,5,0000001
1971,39мероприятийпроведениимассовых,7,0100000000001000000000100000001
1972,регионального,5,0000000000001
1973,срединаших,6,0000100001
1974,786домовдетскихадрес,7,00100001000000100001
1975,страны450,5,000001001
1976,добрарамкахкоторой,7,000010000010000001
1977,887годаходе,6,00100010001
1978,заместитель1307увдначальника,7,0000000000100010010000000001
1979,результатыоперативнослужебной,7,00000000010000000001000000001
1980,доставку796ускорить,6,0000000100100000001
1981,воинскиечасти,6,0000000100001
1982,25морскойпехоты,6,010000001000001
1983,858вузавыпускник,6,0010001000000001
1984,8прохождение,5,100000000001
1985,ваозадержали,6,001000000001
1986,регионахстраны,6,00000001000001
1987,участкетранспортадвижение8203,7,00000010000000001000000010001
1988,ходесовместнойработы,7,00010000000001000001
1989,1консультант,5,100000000001
1990,летдня,6,001001
1991,вниманиеводителей1,6,000000010000000011
1992,округам,5,0000001
1993,заказноеписьмо446,6,00000001000001001
1994,точныекоординаты3,6,00000100000000011
1995,7755летвидприметы,7,00010010010000001
1996,9рудскойсергейполковник,7,10000001000001000000001
1997,тактику1,5,00000011
1998,федерациюлиборежима,7,0000000010001000001
1999,выполнять249предписания,6,00000000100100000000001
2000,начальникауииос,6,000000000100001
2001,крещенских789,5,0000000001001
2002,полициянаркотикипетровка6,7,0000001000000001000000011
2003,легендарного,5,000000000001
2004,комсомольского7,5,000000000000011
2005,наземных1,5,000000011
2006,9737похищенное,5,00010000000001
2007,законодательствафедерациироссийской5859,7,000000000000000100000000100000000010001
2008,кодом,5,00001
2009,3941персональные,5,0001000000000001
2010,ассоциации,5,0000000001
2011,александрфоминпровел,7,00000000100001000001
2012,6желающим,5,100000001
2013,тяжелой,5,0000001
2014,отрядкораблей,6,0000100000001
2015,дивизиистрелковой331,6,00000010000000001001
2016,служебной717собаки,6,000000001001000001
2017,56мвдмвдроссии,7,01001001000001
2018,услугами6воспользоваться,6,000000011000000000000001
2019,общевойсковой87,5,000000000000101
2020,сотрудникимосковской,6,00000000010000000001
2021,6председателькомиссии,6,100000000000100000001
2022,07россиивдв,6,01000001001
2023,1755спецборт,5,000100000001
2024,выпускных,5,000000001
2025,сайтамвдроссии,7,00001001000001
2026,59создан,5,01000001
2027,экипажи4912вертолетов,6,000000100010000000001
2028,москвызадержалиподозреваемых,7,0000010000000010000000000001
2029,полициисотрудником718,6,000000100000000001001
2030,образажизни,6,00000100001
2031,главноеуправлениемчс,7,00000010000000001001
2032,россии00спасатьсмысл,7,00000101000000100001
2033,региональногоэтапавсероссийского,7,00000000000010000100000000000001
2034,управлениемчсроссии,7,0000000001001000001
2035,средствомгероиномнаркотическим4,7,0000000010000000100000000000011
2036,местонахожденииразыскиваемой,6,0000000000000010000000000001
2037,производствомнаправлено,6,00000000000010000000001
2038,самым,5,00001
2039,посылка400,5,0000001001
2040,обязанности71начальникауправления,7,000000000010100000000010000000001
2041,0министерствомобороны,6,100000000000010000001
2042,мотострелкового08,5,00000000000000101
2043,гражданвидом,6,000000100001
2044,мастерспорта50,6,00000100000101
2045,мвдроссиигоду,7,0010000010001
2046,азиатскотихоокеанскомрегионе,7,0000000100000000000010000001
2047,ими206оказались,6,001001000000001
2048,2восточнойпруссии,6,10000000010000001
2049,81юаоувд,6,01001001
2050,зенитныйракетный,6,0000000100000001
2051,полицияновыйгод,6,000000100000001
2052,руденко,5,0000001
2053,0деньматериполицияновости,7,1000000000100000010000001
2054,миллионоврублей,6,000000001000001
2055,несут,5,00001
2056,90полицииначальника,6,0100000010000000001
2057,друг052учителейродителей,7,000100100000001000000001
2058,тиражомэкземпляров90,6,00000010000000000101
2059,полицияпроводит,6,000000100000001
2060,пострадавших,5,000000000001
2061,номер196которомуотследить,7,0000100100000001000000001
2062,входят,5,000001
2063,задержаныдвоемужчин,7,0000000010001000001
2064,8областиивановской,6,100000010000000001
2065,неизвестноприметы,6,00000000010000001
2066,зенитный8060,5,000000010001
2067,контролю6,5,000000011
2068,подозрениюпокушениисбыт,7,00000000010000000010001
2069,выступает,5,000000001
2070,львовскоговысшеговоенно,7,00000000010000001000001
2071,одно,5,0001
2072,дняскорбипамяти44,7,00100000100000101
2073,типов,5,00001
2074,выпущенныхоткрыток846,6,000000000100000001001
2075,малышам9803,5,00000010001
2076,международныхпочтовыхотправлениях,7,000000000000100000001000000000001
2077,3201регистрацииотделение,6,000100000000001000000001
2078,признано74наркотическим,6,00000001010000000000001
2079,россиипочтыакция62,7,000001000010000101
2080,периодиюляавгуста,7,00000100010000001
2081,подозреваемомуизбранамера,7,0000000000000100000010001
2082,059психологом,5,0010000000001
2083,6839новокосино,5,00010000000001
2084,посетила,5,00000001
2085,770гибддулицатнрэр,7,001000010000100001
2086,командыроссии,6,0000001000001
2087,травматизма6284,5,000000000010001
2088,81клиентами,5,01000000001
2089,санктмосквыглавпочтамты7,7,000010000010000000000011
2090,ликвидируютпоследствия2,6,00000000001000000000011
2091,1430определению,5,000100000000001
2092,373белоруссииссороссии,7,0010000000001001000001
2093,федеральнымзаконом,6,000000000010000001
2094,текстновости9читайте,7,00001000000110000001
2095,пожарноедобровольноеобщество57,7,000000010000000000010000000101
2096,разнородныхсил969,6,00000000001001001
2097,желающиемогут,6,0000000100001
2098,аукционе,5,00000001
2099,финансовыхуслуг,6,000000000100001
2100,представлятьбудутконкурса7,7,00000000000100001000000011
2101,бомбардировщиковистребителей6,6,00000000000000010000000000011
2102,пунктом,5,0000001
2103,конкурсастала,6,0000000100001
2104,октябрягодамвд,7,00000010001001
2105,увд892дознания,6,00100100000001
2106,начальникпонорец8065,6,00000000100000010001
2107,межмуниципального3375,5,000000000000000010001
2108,аргументыфакты,6,00000000100001
2109,спасательными8,5,00000000000011
2110,восточному,5,0000000001
2111,полугодиягода,6,0000000010001
2112,17хобби,5,0100001
2113,совершенииданного,6,00000000010000001
2114,сегодняпочтароссии,7,000000100001000001
2115,группывысшегопилотажа5894,7,0000010000001000000010001
2116,мчсроссиималенькаяспасеннаяжизнь,6,00000000100000000000000000000001
2117,3хорошихвыходныхотличного,7,1000000100000001000000001
2118,экстренной0помощипсихологической,7,00000000011000001000000000000001
2119,3стражумвдроссии,6,1000001000000001
2120,3ношениеперевозкахранение,7,1000000100000000100000001
2121,0954авиациивосточного,6,000100000010000000001
2122,деятельностислужебнойоперативно1,7,00000000000100000000100000000011
2123,общевойсковой5488,5,00000000000010001
2124,докладом,5,00000001
2125,91федерацииотношениироссийской,7,010000000010000000010000000001
2126,помощьюспециальных,6,000000100000000001
2127,концерты,5,00000001
2128,189маломернымсудаминспекции,7,001000000000100001000000001
2129,мчс5542владимирпучков,7,001000100000001000001
2130,4дорожногороссийскойдвижения,7,1000000001000000000100000001
2131,мало,5,0001
2132,праздникстоличнойполиции,7,000000010000000010000001
2133,доставляя,5,000000001
2134,желающийоформить821каждый,7,0000000100000001001000001
2135,артиллерийское3325,5,000000000000010001
2136,подозреваемогозадержалистолицы173,7,000000000000010000000010000001001
2137,арктическом,5,00000000001
2138,47оборудованием,5,010000000000001
2139,женщинузадержали9,6,00000010000000011
2140,4рэб,5,1001
2141,силсредств,6,0010000001
2142,данными89,5,000000101
2143,петровкаапрелягода,7,000000010000010001
2144,победу,5,000001
2145,4укреплению,5,10000000001
2146,адресиндекс,6,00001000001
2147,серединывека9491,6,0000000100010001
2148,4плечо,5,100001
2149,ноябряпетровка9газеты,7,000001000000011000001
2150,48сотрудникиполициизападного,7,0100000000010000001000000001
2151,успешноговыполнения,6,0000000010000000001
2152,оцените2,5,00000011
2153,денежными3398средствами,6,00000000100010000000001
2154,двоихподозреваемыхими,7,000010000000000001001
2155,8178выражаю,5,00010000001
2156,9686факторов,5,000100000001
2157,призываетмосквы4135,6,0000000010000010001
2158,принятьучастие6,6,000000100000011
2159,медалью,5,0000001
2160,знаковдорожных93требования,7,00000100000001010000000001
2161,внимательнымисоблюдатьбезопасную,7,00000000000010000000010000000001
2162,задержалиподозреваемогоразбойном,7,00000000100000000000001000000001
2163,жилых78,5,0000101
2164,экономической3сотрудникиотдела,7,000000000000110000000001000001
2165,мвдпетровкадети,7,001000000010001
2166,года8назад,6,0001100001
2167,71деятельностьпресеклимоскве,7,0100000000000100000001000001
2168,сообществе,5,0000000001
2169,6212пунктах,5,00010000001
2170,мирахоккеюсреди,7,000100000100001
2171,авиациимчсроссии,7,0000001001000001
2172,фестивалямузыкальноготворчества,7,0000000010000000000010000000001
2173,прыжок16,5,00000101
2174,российскоговоенного374,6,0000000000100000001001
2175,днямосковскомглавпочтамте,7,0010000000001000000000001
2176,спасениялюдей,6,0000000100001
2177,79иномарки,5,0100000001
2178,021девушка,5,0010000001
2179,школьников,5,0000000001
2180,задержалиподозреваемыхсовершении,7,00000000100000000000010000000001
2181,другая5862,5,0000010001
2182,зрителям,5,00000001
2183,почтовыхотделений6работы,7,000000010000000011000001
2184,помощь82жителям,6,000001010000001
2185,квартирных0сериикраж,7,00000000011000010001
2186,задержалилетнегоуроженца,7,000000001000000100000001
2187,3828ремонтно,5,000100000001
2188,сегодняпочта,6,000000100001
2189,выявлены,5,00000001
2190,сократилось609,5,00000000001001
2191,годаприем,6,000100001
2192,рассмотрениясуществу,6,00000000000100000001
2193,473обеспечивать,5,001000000000001
2194,часчасперерыв,7,0010010000001
2195,всемирногопочтового6130,6,00000000010000000010001
2196,майора7полиции,6,00000110000001
2197,судьи933,5,00001001
2198,помощникначальникаувд,7,000000010000000001001
2199,ветерановпоздравил8военнослужащих,7,000000001000000001100000000000001
2200,бандеролью,5,0000000001
2201,творчестве504,5,0000000001001
2202,морскойпехотысеверного,7,0000001000001000000001
2203,подозреваемая48задержана,6,000000000000101000000001
2204,233работайте,5,001000000001
2205,худощавоготелосложения,6,0000000001000000000001
2206,колонны512мчс,6,0000001001001
2207,которым,5,0000001
2208,условийнеблагоприятныхпогодных082,7,000000100000000000000100000001001
2209,личныйсоставмосковской,7,0000010000010000000001
2210,государствами,5,0000000000001
2211,1455тюмень,5,0001000001
2212,базой,5,00001
2213,россии277доставил,6,00000100100000001
2214,5петровкамвдроссиигазета,7,100000001000000001000001
2215,0353задержаличеловекамолодого,7,00010000000010000000100000001
2216,тремя7,5,000011
2217,содействиясемейному,6,0000000001000000001
2218,смогутбесплатно,6,000001000000001
2219,02поверхности,5,0100000000001
2220,международного,5,00000000000001
2221,выставку153,5,00000001001
2222,службу3289мобильных,6,0000010001000000001
2223,53незамедлительно,5,01000000000000001
2224,почтоматы,5,000000001
2225,полициямосквавыходные,7,000000100000100000001
2226,днемпожарнойохраны5,7,0001000000010000011
2227,коммуникацийроссийскойфедерации,7,0000000000010000000001000000001
2228,москвыприняли507,6,0000010000001001
2229,раскрытии,5,000000001
2230,тактическое064,5,00000000001001
2231,ходовых,5,0000001
2232,поставлен,5,000000001
2233,одногоподозреваемых,6,0000010000000000001
2234,015военнойакадемии,6,001000000100000001
2235,советмчсмчсмчсроссии,7,00000001001000000001
2236,задержалирайону2214,6,0000000010000010001
2237,05непрерывно,5,010000000001
2238,созданию7,5,000000011
2239,сентябре314,5,00000001001
2240,285сбыта,5,00100001
2241,02штемпелемдняпервого,7,010000000010010000001
2242,участниками09дорожного,6,0000000000101000000001
2243,электронной,5,00000000001
2244,миноборонырвсн4,6,000000000100011
2245,участиевоенно,6,0000001000001
2246,мчсроссиигода,7,0010000010001
2247,входе,5,00001
2248,службыпочтовой806,6,00000100000001001
2249,городаизвестных96достопримечательностей,7,000001000000001010000000000000000000001
2250,очень1271рад,6,000010001001
2251,355улицейперекресткаполя,7,001000001000000000010001
2252,регионов7россии,6,000000011000001
2253,прошло947оперативноесовещание,7,00000100100000000001000000001
2254,95километровквадратныхтерритории,7,01000000000100000000010000000001
2255,50северестолицы,6,010000010000001
2256,распорядился,5,000000000001
2257,стратегический,5,00000000000001
2258,постоянногобазирования,6,0000000000100000000001
2259,петровка8911мвдроссиимарта,7,00000001000100000000100001
2260,смену,5,00001
2261,2топливом,5,100000001
2262,автоматизации740,5,0000000000001001
2263,изображения,5,00000000001
2264,изъят,5,00001
2265,70торжественнаяцеремония,6,010000000000001000000001
2266,подозреваемогонезаконномхранении,7,00000000000001000000000100000001
2267,ограниченогода6часов,7,00000000010001100001
2268,дочь,5,0001
2269,управлениемвд3,6,00000000010011
2270,провеливао6увд,7,00000010011001
2271,академиигосударственнойпротивопожарной,7,00000001000000000000001000000000000001
2272,подписчики,5,0000000001
2273,управленияпрофессиональной335начальник,7,00000000010000000000000001001000000001
2274,твоя80акции,6,00010100001
2275,увидела2,5,00000011
2276,98россииреспублике,6,010000010000000001
2277,0855всемирного,5,00010000000001
2278,медальлетпобеды,7,000001001000001
2279,открыткипосткроссингсегодня,7,000000010000000000010000001
2280,слушателикурсанты7,6,000000001000000011
2281,сотрудникамиуголовного,6,0000000000010000000001
2282,поисково838спасательный,6,00000001001000000000001
2283,областиархангельской64,6,0000001000000000000101
2284,учебныйгод,6,0000001001
2285,истребителейперехватчиковмиг,7,0000000000010000000000001001
2286,петровкановостиграбеж,7,000000010000001000001
2287,96числеобщественного,6,01000010000000000001
2288,будуторганизованы,6,00001000000000001
2289,управленияобщественных4информации,7,000000000100000000000110000000001
2290,14федерацияроссийская,6,010000000010000000001
2291,048новостиункнаркотики,7,0010000001001000000001
2292,9какого,5,1000001
2293,пучковпосетил77владимир,7,00000100000010100000001
2294,органовгосударственнойвласти,7,0000001000000000000001000001
2295,образцовоеисполнение,6,00000000010000000001
2296,самоеблизкоеродное,7,000010000001000001
2297,юзаообращаются,6,00010000000001
2298,8838здоровье,5,000100000001
2299,проходимости,5,000000000001
2300,волоколамском12,5,000000000000101
2301,органыуправления,6,0000010000000001
2302,подготовкицентрпрофессиональной898,7,0000000001000010000000000000001001
2303,знак,5,0001
2304,граждангражданствалиц8021,7,0000001000000000010010001
2305,записи2020репост,6,0000010001000001
2306,близкого,5,00000001
2307,друзей94,5,00000101
2308,свойлетний,6,0001000001
2309,529почтово,5,0010000001
2310,начальникувдтинао,7,00000000100100001
2311,высокие5оперативнопоказатели,7,0000001100000000010000000001
2312,материально2782технического,6,000000000010001000000000001
2313,посылокмелкихпакетов,7,00000010000010000001
2314,акциипринялиучастие,7,0000100000010000001
2315,периодомпрошлого,6,0000000100000001
2316,участникиорганизованной,6,00000000100000000000001
2317,9годакануннового,7,1000100001000001
2318,задержали4294,5,0000000010001
2319,1761будутвыступатьавиации,7,0001000010000000010000001
2320,написатьписьмо,6,00000001000001
2321,9липецкогоавиацентра,6,10000000010000000001
2322,наркотиковобороту540,6,00000000010000001001
2323,2865набережнойфрунзенской,6,0001000000000100000000001
2324,многих5479,5,0000010001
2325,иностранныхгражданлиц,7,000000000010000001001
2326,личнымсоставомполковник,7,00000100000001000000001
2327,управлениястоличнойполиции,7,00000000010000000010000001
2328,перспективы821развития,6,0000000000100100000001
2329,поздравиливоспитанников,6,00000000010000000000001
2330,3342блоков,5,0001000001
2331,вынесен,5,0000001
2332,покажут,5,0000001
2333,годапожарнойохраны,7,000100000001000001
2334,5305близких,5,00010000001
2335,конкурсаотличники,6,00000001000000001
2336,нападение23разбойное,6,00000000101000000001
2337,анатолияякунина4527,6,0000000100000010001
2338,федерации6019общественной,6,0000000010001000000000001
2339,оформитьподпискулюбое718,7,000000010000000100001001
2340,уголовнойадминистративнойответственности,7,0000000010000000000000001000000000000001
2341,новостикражавао,7,000000100001001
2342,5детскогодомадома,7,10000000100010001
2343,2937разудалов,5,0001000000001
2344,отделенияпочтыроссии2,7,000000001000010000011
2345,далеко,5,000001
2346,выдающихся9054,5,00000000010001
2347,выпуске0418мчсроссииновом,7,0000001000100000000100001
2348,предельновнимательнымизаранее,7,00000000100000000000010000001
2349,7мирачемпионата,6,100010000000001
2350,подозреваемого,5,00000000000001
2351,пользуетесь,5,00000000001
2352,полициизеленограда,6,000000100000000001
2353,торжественную516,5,0000000000001001
2354,российских,5,0000000001
2355,6отделамвдначальник,7,1000001001000000001
2356,тюменской,5,000000001
2357,организациидоговораколлективной,7,0000000000100000001000000000001
2358,львовского2выпускника,6,000000000110000000001
2359,героиномнаркотическимсредством7,7,0000000100000000000010000000011
2360,первоймировой,6,0000010000001
2361,нам2,5,0011
2362,запечатлены,5,00000000001
2363,божиейматери,6,000001000001
2364,9поставитьсможет,6,1000000001000001
2365,4581поздравленияновыйгод,6,000100000000000100000001
2366,ошибки,5,000001
2367,незаконноговооруженногоформирования,7,00000000001000000000001000000000001
2368,страниц4094,5,00000010001
2369,спартакиадероссиимвд14,7,0000000000100000100101
2370,3лейтенанташмидтанабережной,7,100000000010000010000000001
2371,123затон,5,00100001
2372,обязанностей82служебныхвыполнении,7,000000000001010000000010000000001
2373,культурыфизической0931,6,0000000100000000010001
2374,мероприятиеначалось,6,0000000000100000001
2375,передачасбытхранение,7,00000001000100000001
2376,986лучшийпрофессии,6,001000001000000001
2377,64материдень,6,010000010001
2378,половодья2,5,0000000011
2379,памятникупожарнымспасателям,7,000000001000000010000000001
2380,рхбзащиты6,6,0010000011
2381,112помочь,5,001000001
2382,поставитьоттиск2штемпеля,7,000000001000001100000001
2383,установлениерозыск,6,000000000001000001
2384,людямкоторые,6,000010000001
2385,форума56экономического,6,0000010100000000000001
2386,рамкахкоторой,6,0000010000001
2387,центрситуационный9892,6,000010000000000010001
2388,блогер,5,000001
2389,уполномоченныхполиции,6,000000000000010000001
2390,северозападного,6,000001000000001
2391,помог,5,00001
2392,небе,5,0001
2393,обращает,5,00000001
2394,939гражданскуюпозицию,6,001000000000010000001
2395,9111органовмвдроссии,7,00010000001001000001
2396,профессорскопреподавательскийсостав,7,00000000000100000000000000001000001
2397,2новостигибддполиция,7,10000001000010000001
2398,полицейскиеновости90полиция,7,000000000010000001010000001
2399,предметомпохожимпистолет,7,000000001000000100000001
2400,авиациитихоокеанскогофлота,7,00000010000000000000100001
2401,выбиратьскоростнойрежим,7,00000001000000000100001
2402,88кампанияподписная,6,0100000001000000001
2403,челябинскойобласти,6,000000000010000001
2404,наркотическим839веществоявляется,7,00000000000010010000000100000001
2405,армиикитая,6,0000100001
2406,73примут,5,01000001
2407,сериикражквартирных493,7,0000100010000000001001
2408,04декабря,5,010000001
2409,алексеяпочтальона1тряпицына,7,000000100000000011000000001
2410,количествозарегистрированныхпреступлений34,7,000000000100000000000000000100000000000101
2411,нырнул023,5,000001001
2412,тысячсотрудниковмчс,7,0000100000000001001
2413,дпссотрудники92гибдд,7,00100000000010100001
2414,труде138,5,00001001
2415,необходимуюпомощь,6,00000000001000001
2416,стойкость,5,000000001
2417,практической15научно,6,00000000000101000001
2418,свышеединицчеловек2,7,0000100000100000011
2419,посвящённый1184,5,000000000010001
2420,екатеринбурготкрыткипосткроссинг,7,00000000000100000001000000000001
2421,копии34,5,0000101
2422,истребителейперехватчиков9986,6,00000000000100000000000010001
2423,сзаоувд9276,6,00010010001
2424,генералу,5,00000001
2425,учебномцентреслужебного,7,00000010000010000000001
2426,признанывиновными,6,00000001000000001
2427,26летчики,5,010000001
2428,петровкавыходные,6,0000000100000001
2429,огневыепозиции,6,00000010000001
2430,экстремальных55,5,000000000000101
2431,танковыевойскасухопутныевойскабоеваяподготовка,7,0000000000000100000000000000010000000000000001
2432,заказныеписьма65,6,0000000100000101
2433,ленинградской,5,0000000000001
2434,уровне,5,000001
2435,09подписнаякампания,6,0100000000100000001
2436,2021отправитьполучить,6,000100000000100000001
2437,сократит96,5,0000000101
2438,63плюссмоа,6,0100010001
2439,6принялироссии,6,10000001000001
2440,43мвдроссиимосквемвд,7,01000000001000001001
2441,0мчсроссиимчсроссиимчс,7,1000000001000000001001
2442,процессов,5,000000001
2443,1бориса,5,1000001
2444,современныетехнологии,6,000000000010000000001
2445,министроборонысергей,7,00000010000001000001
2446,уроклучший2750письма,7,00010000010001000001
2447,звездыкрасной0794,6,00000100000010001
2448,петербург,5,000000001
2449,сортировочногоцентра,6,00000000000001000001
2450,праздничныйдень,6,000000000010001
2451,генераллейтенантполиции,7,00000010000000010000001
2452,игилрайонедейр,7,00010000010001
2453,республикиказахстан,6,0000000001000000001
2454,военнополитического,6,0000010000000000001
2455,4центрлогистическийвнуково,7,10000100000000000010000001
2456,869стрельбыартиллерийские,6,0010000000100000000000001
2457,полковникполицииирина,7,000000001000000100001
2458,делопризнакамсостава,7,00010000000010000001
2459,имени3822александрова,6,000010001000000000001
2460,главного6управления,6,0000000110000000001
2461,победугерманиейвеликой,7,0000010000000010000001
2462,верховныйглавнокомандующий,6,00000000100000000000000001
2463,присвоено751,5,000000001001
2464,национальногоцентра,6,0000000000001000001
2465,мчсроссии94мчсмчс,7,00000000101001001
2466,военного457проведениемсвязанными,7,00000001001000000000010000000001
2467,сотрудникамиоэбипкувд,7,000000000001000001001
2468,увд7управлением,6,001100000000001
2469,сохранить,5,000000001
2470,медальюспасениепогибавших,7,0000001000000010000000001
2471,отборочный2355,5,00000000010001
2472,горячим,5,0000001
2473,квартирной391подозреваемогозадержали,7,000000000100100000000000001000000001
